id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
5463,OP14,small_airport,"Belab Airport",30.34000015258789,70.55670166015625,377,AS,PK,PK-PB,Belab,0,OP14,,OP14,,,,50,2008-09-01T20:48:58+00:00
5246,OPBG,small_airport,"Bhagatanwala Airport",32.056098938,72.94840240479999,600,AS,PK,PK-PB,Bhagatanwala,0,OPBG,BHW,,,,,50,2012-07-01T15:13:26+00:00
41628,PK-BHC,small_airport,"Bhurban Heliport",33.96099853515625,73.4520034790039,5750,AS,PK,PK-NW,Bhurban,0,,BHC,,,,,50,2008-09-01T20:48:49+00:00
41629,PK-CWP,small_airport,"Campbellpore Airport",33.766700744628906,72.36689758300781,1175,AS,PK,PK-PB,Campbellpore,0,,CWP,,,,,50,2008-09-01T20:48:50+00:00
41616,OPKA,small_airport,"Cape Monz Airport",24.827932357788086,66.6644287109375,40,AS,PK,PK-SD,"Cape Monz",0,OPKA,,,,,,50,2008-09-01T20:47:42+00:00
41632,PK-REQ,small_airport,"Reko Diq Airport",29.04692,62.196819,2784,AS,PK,PK-BA,Chagai,0,,REQ,,,,,50,2019-05-10T11:11:38+00:00
30826,OPCL,small_airport,"Chilas Airport",35.426700592,74.081703186,4146,AS,PK,PK-NA,Chilas,0,OPCL,CHB,,,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2011-10-09T09:57:37+00:00
32122,OPKE,small_airport,"Chore Airport",25.525999069213867,69.77179718017578,200,AS,PK,PK-SD,Chore,0,OPKE,,,,,,50,2008-09-01T20:47:48+00:00
5459,OP10,small_airport,"Thar Airport",27.20050048828125,69.15380096435547,167,AS,PK,PK-SD,Chuchra,0,OP10,,OP10,,,,50,2008-09-01T20:48:54+00:00
5466,OP17,small_airport,"Dadu West Airport",26.740800857543945,67.6666030883789,128,AS,PK,PK-SD,Dadu,0,OP17,DDU,OP17,,,,50,2008-09-01T20:49:01+00:00
41614,OPDD,small_airport,"Dadu Airport",26.5545005798,67.67459869380001,121,AS,PK,PK-SD,Dadu,0,OPDD,DDU,,,,,50,2012-04-16T01:06:07+00:00
41615,OPDK,small_airport,"Daharki Airport",28.5,69.69999694824219,274,AS,PK,PK-PB,Daharki,0,OPDK,,,,,,50,2008-09-01T20:47:36+00:00
5479,OP28,small_airport,"Dhingar Airport",29.92329978942871,66.74610137939453,5215,AS,PK,PK-BA,Dhingar,0,OP28,,OP28,,,,50,2008-09-01T20:49:05+00:00
41617,OPKF,small_airport,"Gharo Airport",24.729000091552734,67.58760070800781,20,AS,PK,PK-SD,Gharo,0,OPKF,,,,,,50,2008-09-01T20:47:49+00:00
41630,PK-GRT,small_airport,"Gujrat Airport",32.60309982299805,74.07710266113281,760,AS,PK,PK-PB,Gujrat,0,,GRT,,,,,50,2008-09-01T20:48:51+00:00
5476,OP25,small_airport,"Gurha Salim Airport",32.8785018921,73.60530090329999,800,AS,PK,PK-PB,"Gurha Salim",0,OP25,,OP25,,"https://en.wikipedia.org/wiki/Gurha_Salim_Airport,_Jhelum","OP 922, XJM",50,2011-10-09T12:34:55+00:00
5469,OP1A,small_airport,"Jam Nida Northwest Airport",26.19809913635254,67.50370025634766,420,AS,PK,PK-SD,"Jam Nida",0,OP1A,,OP1A,,,,50,2008-09-01T20:49:03+00:00
5484,OP35,small_airport,"Juzzak Airport",29.04050064086914,61.64739990234375,2861,AS,PK,PK-BA,Juzzak,0,OP35,,OP35,,,,50,2008-09-01T20:49:15+00:00
35198,PK-KCF,small_airport,"Kadanwari Airport",27.1667003632,69.31670379639999,248,AS,PK,PK-SD,Kadanwari,0,OPKW,KCF,,,https://en.wikipedia.org/wiki/Kadanwari_Airport,,50,2014-12-18T02:25:53+00:00
41641,PK-0008,small_airport,"Mari Indus East",32.91999816894531,71.69000244140625,310,AS,PK,PK-PB,Kalabagh,0,,,,,,,50,2008-09-01T20:49:29+00:00
41619,OPKL,small_airport,"Kalat Airport",29.133333206176758,66.51667022705078,6100,AS,PK,PK-BA,Kalat,0,OPKL,KBH,,,,,50,2008-09-01T20:47:53+00:00
5482,OP33,small_airport,"Kandhkot Airport",28.27400016784668,69.2760009765625,250,AS,PK,PK-SD,Kandhkot,0,OP33,,OP33,,,,50,2008-09-01T20:49:11+00:00
5278,OPSF,medium_airport,"Faisal Air Base",24.87420082092285,67.11849975585938,29,AS,PK,PK-SD,Karachi,0,OPSF,,,,https://en.wikipedia.org/wiki/Faisal_Airbase,,50,2009-02-20T09:49:08+00:00
41618,OPKK,small_airport,"Korangi Creek Airport",24.784299850463867,67.13899993896484,3,AS,PK,PK-SD,Karachi,0,OPKK,,,,,,50,2008-09-01T20:47:52+00:00
5480,OP31,small_airport,"Kashmor Airport",28.470600128173828,69.5990982055664,260,AS,PK,PK-SD,Kashmor,0,OP31,,OP31,,,,50,2008-09-01T20:49:07+00:00
5481,OP32,small_airport,"Khairpur Airport",28.036100387573242,69.67489624023438,300,AS,PK,PK-SD,Khairpur,0,OP32,,OP32,,,,50,2008-09-01T20:49:09+00:00
41611,OPBL,small_airport,"Bela Airport",29.49220085144043,71.11840057373047,347,AS,PK,PK-PB,"Khan Bela",0,OPBL,,,,,,50,2008-09-01T20:47:26+00:00
5464,OP15,small_airport,"Ouzkani Airport",30.252899169921875,70.21289825439453,2331,AS,PK,PK-PB,Khandor,0,OP15,,OP15,,,,50,2008-09-01T20:48:58+00:00
5256,OPKN,small_airport,"Kharan Airport",28.597200393676758,65.42250061035156,2408,AS,PK,PK-BA,Kharan,0,OPKN,,,,,,50,2008-09-01T20:47:55+00:00
41639,PK-0006,small_airport,"Kharan East Airport",28.61989974975586,65.46649932861328,2408,AS,PK,PK-BA,Kharan,0,,,,,,,50,2008-09-01T20:49:27+00:00
5477,OP26,small_airport,"Khewra Airport",32.62910079956055,73.02259826660156,767,AS,PK,PK-PB,Khewra,0,OP26,,OP26,,,,50,2008-09-01T20:49:03+00:00
5465,OP16,small_airport,"Khorewah Airport",24.787200927734375,68.55719757080078,16,AS,PK,PK-SD,Khorewah,0,OP16,,OP16,,,,50,2008-09-01T20:48:59+00:00
32100,OPKT,small_airport,"Kohat Airport",33.5699996948,71.4400024414,1650,AS,PK,PK-NW,Kohat,0,OPKT,OHT,,,https://en.wikipedia.org/wiki/Kohat_Airbase,,50,2011-10-09T13:49:49+00:00
5467,OP18,small_airport,"Kot Addu Airport",30.49489974975586,70.97109985351562,423,AS,PK,PK-PB,"Kot  Addu",0,OP18,,OP18,,,,50,2008-09-01T20:49:01+00:00
5468,OP19,small_airport,"Chashma Airport",32.4244995117,71.4585037231,645,AS,PK,PK-PB,Kundian,0,OP19,,OP19,,https://en.wikipedia.org/wiki/Chashma_Airport,,50,2011-10-09T09:54:57+00:00
5462,OP13,small_airport,"Mad Jamu Airport",28.356199264526367,70.6001968383789,256,AS,PK,PK-PB,"Mad Jamu Kholelan",0,OP13,,OP13,,,,50,2008-09-01T20:48:58+00:00
5475,OP24,small_airport,"Mandi Bahauddin Air Base",32.60139846801758,73.5083999633789,750,AS,PK,PK-PB,"Mandi Bahauddin",0,,,,,,OP24,50,2009-04-11T09:31:08+00:00
41631,PK-HRA,small_airport,"Mansehra Airport",34.33332061767578,73.20020294189453,3530,AS,PK,PK-NW,Mansehra,0,,HRA,,,,,50,2008-09-01T20:48:52+00:00
5460,OP11,small_airport,"Mir Baz Airport",31.18779945373535,70.18450164794922,2350,AS,PK,PK-BA,"Mir Baz",0,OP11,,OP11,,,,50,2008-09-01T20:48:56+00:00
32123,OPMN,small_airport,"Miram Shah Airport",33.01470184326172,70.06439971923828,3022,AS,PK,PK-TA,"Miram Shah",0,OPMN,,,,,,50,2008-09-01T20:48:03+00:00
41621,OPMK,small_airport,"Mirpur Khas Air Base",25.682501,69.0728,180,AS,PK,PK-SD,"Mirpur Khas",0,OPMK,,,,,,50,2018-04-26T12:43:10+00:00
5483,OP34,small_airport,"Nok Kundi Airport",28.819400787353516,62.7307014465332,2227,AS,PK,PK-BA,"Nok Kundi",0,OP34,,OP34,,,,50,2008-09-01T20:49:13+00:00
41613,OPCT,small_airport,"Chirat Airport",33.968101501464844,71.96749877929688,1192,AS,PK,PK-NW,Nowshera,0,OPCT,,,,,,50,2008-09-01T20:47:32+00:00
5266,OPNK,small_airport,"Nushki Airport",29.538999557495117,66.02330017089844,3200,AS,PK,PK-BA,Nushki,0,OPNK,NHS,,,,,50,2008-09-01T20:48:13+00:00
5267,OPOK,small_airport,"Okara Cantonment Airstrip",30.740999221800003,73.3576965332,568,AS,PK,PK-PB,Okara,0,OPOK,,,,,,50,2012-01-04T10:57:54+00:00
5486,OP37,small_airport,"Pano Aqil Southeast Airport",27.813100814819336,69.16709899902344,200,AS,PK,PK-SD,"Pano Aqil",0,OP37,,OP37,,,,50,2008-09-01T20:49:19+00:00
41622,OPPN,small_airport,"Pishin Airport",30.55620002746582,66.9854965209961,5075,AS,PK,PK-BA,Pishin,0,OPPN,,,,,,50,2008-09-01T20:48:22+00:00
5271,OPQS,small_airport,"Qasim Airport",33.56019973754883,73.033203125,1581,AS,PK,PK-PB,Qasim,0,OPQS,,,,https://en.wikipedia.org/wiki/Dhamial_Army_Airbase,,50,2008-09-01T20:48:22+00:00
5275,OPRS,medium_airport,"Risalpur Air Base",34.08110046386719,71.97260284423828,1050,AS,PK,PK-NW,Risalpur,0,OPRS,,,,https://en.wikipedia.org/wiki/Risalpur_Airbase,,50,2009-02-20T09:51:10+00:00
41625,OPSW,small_airport,"Sahiwal Airport",31.88944435119629,72.39167022705078,570,AS,PK,PK-PB,Sahiwal,0,OPSW,SWN,,,,,50,2008-09-01T20:48:38+00:00
41633,PK-RZS,small_airport,"Sawan Airport",26.9662,68.878098,160,AS,PK,PK-SD,Sawan,1,OPSW,RZS,,,https://en.wikipedia.org/wiki/Sawan_Airport,,50,2016-07-07T06:16:29+00:00
41623,OPSP,small_airport,"Shekhupura Airport",31.708499908447266,74.01020050048828,680,AS,PK,PK-PB,Shekhupura,0,OPSP,,,,,,50,2008-09-01T20:48:32+00:00
41634,PK-SWV,closed,"Shikarpur Airport",29.166667,70.433333,219,AS,PK,PK-SD,Shikarpur,0,,SWV,,,,,50,2012-10-22T21:42:58+00:00
32251,OPSB,small_airport,"Sibi Airport",29.571199417114258,67.847900390625,436,AS,PK,PK-BA,Sibi,0,OPSB,SBQ,,,,,50,2008-09-01T20:48:27+00:00
31936,OPMP,small_airport,"Sindhri Tharparkar Airport",25.68280029296875,69.07279968261719,51,AS,PK,PK-SD,Sindhri,0,OPMP,MPD,,,,,50,2008-09-01T20:48:05+00:00
41626,OPTT,small_airport,"Taftan Airport",28.96419906616211,61.595401763916016,2742,AS,PK,PK-BA,Taftan,0,OPTT,TFT,,,,,50,2008-09-01T20:48:41+00:00
32458,OPTA,small_airport,"Tarbela Dam Airport",33.9860992432,72.61139678960001,1114,AS,PK,PK-NW,Tarbela,0,OPTA,TLB,,,https://en.wikipedia.org/wiki/Tarbela_Dam_Airport,,50,2011-10-09T12:15:23+00:00
5474,OP23,small_airport,"Thal Airport",33.38759994506836,70.58879852294922,2650,AS,PK,PK-NW,Thal,0,OP23,,OP23,,,,50,2008-09-01T20:49:03+00:00
5284,OPWN,small_airport,"Wana Airport",32.3046989440918,69.57039642333984,4550,AS,PK,PK-TA,Waana,0,OPWN,WAF,,,,,50,2008-09-01T20:48:45+00:00
41645,PK-0012,small_airport,"Wateji Airstrip",24.8658,67.4096,149,AS,PK,PK-SD,Wateji,0,,,,,,,50,2016-05-15T17:52:23+00:00
317901,PK-0016,small_airport,"Petaro Airport",25.5448,68.3265,113,AS,PK,PK-SD,"Cadet College Petaro",0,,,,,,,0,2016-05-15T16:46:15+00:00
41636,PK-0003,heliport,"Dalbandin Heliport",28.874799728393555,64.404296875,2776,AS,PK,PK-BA,Dalbandin,0,,,,,,,0,2008-09-01T20:49:24+00:00
41637,PK-0004,heliport,"Gilgit Heliport",35.91780090332031,74.34329986572266,4864,AS,PK,PK-NA,Gilgit,0,,,,,,,0,2008-09-24T09:08:59+00:00
41638,PK-0005,heliport,"Gurha Salim Heliport",32.88130187988281,73.60140228271484,769,AS,PK,PK-PB,"Gurha Salim",0,,,,,,,0,2008-09-01T20:49:26+00:00
317902,PK-0017,small_airport,"Jungshahi Airstrip",24.8366,67.7619,45,AS,PK,PK-SD,Jungshahi,0,,,,,,,0,2016-05-15T17:30:13+00:00
41640,PK-0007,heliport,"Korangi Creek Heliport",24.78219985961914,67.13639831542969,3,AS,PK,PK-SD,Karachi,0,,,,,,,0,2008-09-01T20:49:28+00:00
317903,PK-0018,closed,"Chota Malir Airstrips",24.95,67.173,165,AS,PK,PK-SD,Karachi,0,,,,,,,0,2016-05-15T18:26:12+00:00
317904,PK-0019,closed,"PAF Base Malir",24.97,67.228,205,AS,PK,PK-SD,Karachi,0,,,,,,,0,2016-05-15T18:35:35+00:00
299580,PK-0014,small_airport,"Khanpur Airport",28.6433333333,70.6325,283,AS,PK,PK-PB,Khanpur,0,,,,,,,0,2011-10-09T16:10:54+00:00
317899,PK-0015,small_airport,"Larkana Airport",27.4831,68.1926,167,AS,PK,PK-SD,Larkana,0,,,,,,,0,2016-05-15T15:25:26+00:00
325954,PK-0025,closed,"Notakzai Airport",29.653524,66.383008,5102,AS,PK,PK-BA,Notakzai,0,,,,,,,0,2017-12-25T08:34:00+00:00
41643,PK-0010,heliport,"Nushki Heliport",29.540199279785156,66.02449798583984,3271,AS,PK,PK-BA,Nushki,0,,,,,,,0,2008-09-01T20:49:30+00:00
325955,PK-0026,closed,"Khai Airport",28.273904,70.077635,258,AS,PK,PK-PB,Sadiqabad,0,,,,,,,0,2017-12-25T10:42:14+00:00
325945,PK-0023,closed,"Saranan Airport",30.566843,66.893477,4858,AS,PK,PK-BA,Saranan,0,,,,,,Sārānān,0,2017-12-24T18:21:16+00:00
299579,PK-0013,heliport,"Sialkot Cantonment Airport",32.5147222222,74.52888888890001,2074,AS,PK,PK-PB,Sialkot,0,,,,,https://en.wikipedia.org/wiki/Sialkot_Cantonment_Airport,,0,2011-10-09T14:30:41+00:00
325953,PK-0024,closed,"Spezand Airfield",29.916193,66.987726,5790,AS,PK,PK-BA,Spezand,0,,,,,,,0,2017-12-25T08:08:25+00:00
317905,PK-0020,small_airport,"Sujawal Airport",24.6141,68.0827,30,AS,PK,PK-SD,Sujawal,0,,,,,,,0,2016-05-15T18:55:31+00:00
325944,PK-0022,closed,"Tank Airport",32.19809,70.404027,825,AS,PK,PK-NW,Tank,0,,,,,,,0,2017-12-24T17:54:32+00:00
41644,PK-0011,heliport,"Walton Heliport",31.48979949951172,74.34880065917969,695,AS,PK,PK-PB,Walton,0,,,,,,,0,2008-09-01T20:49:31+00:00
301278,ZIZ,heliport,"Zamzama Heliport",26.710944444400003,67.66725,128,AS,PK,PK-SD,"Zamzama Gas Field",0,,ZIZ,,,,,0,2012-04-21T15:05:52+00:00
